customer_id,borrower_age,employment_type,employment_tenure_years,residence_years,marital_status,dependents_count,monthly_gross_income,net_disposable_income,income_variability_flag,existing_emi_obligation,debt_to_income_ratio,avg_savings_balance,loan_amount,loan_tenure_months,interest_rate,emi_amount,loan_type,loan_vintage_months,current_dpd,past_delinquency_count,max_dpd_12m,on_time_payment_ratio,missed_payment_count,partial_payment_flag,auto_debit_bounce_count,days_since_last_payment,rolling_dpd_trend,payment_volatility_score,emi_stress_ratio,delinquency_acceleration,payment_regularity_score,bounce_frequency_ratio,recovery_lag_days,outstanding_balance_ratio,utilization_shock_flag,repayment_fatigue_index,exposure_concentration_score,behavioral_risk_score
DH34057904,42,Salaried,1.4,18.3,Married,0,31036.74,21343.97,0,55284.21,1.781,295627.95,362445.74,24,19.62,18379.75,Credit_Card,61,0,1,90,0.88,0,1,0,17,0,0.217,0.861,-15,0.43,0,0,0.508,0,0,0.283,0.313
ZS75492208,43,Salaried,15.2,6.4,Married,2,129524.27,77685.22,0,19791.1,0.153,196412.58,495782.26,48,17.15,14344.32,Credit_Card,28,0,3,90,0.66,1,0,0,45,0,0.055,0.185,0,0,0,0,0.803,0,0.034,0.385,0.069
PW54894251,24,Salaried,16.3,18.8,Single,2,91673.38,46127.56,0,52718.34,0.575,403002.43,519260.66,12,17.01,47361.5,Credit_Card,14,0,3,30,0.86,2,0,1,50,0,0.242,1.027,0,0,0.333,0,0.26,0,0.133,0.59,0.452
KS28702522,45,Gig,18.4,10.2,Single,3,181674.59,111420.79,1,40510.8,0.223,463596.56,234865.25,24,14.65,11348.81,Personal_Loan,32,0,0,30,0.74,0,0,2,4,0,0.403,0.102,0,0.87,2,0,0.267,0,0,0.415,0.631
IN43291563,30,Salaried,19.3,3.2,Married,2,125964.31,80613.23,0,48786.13,0.387,391330.24,604364.94,24,16.72,29799.92,Credit_Card,15,0,0,60,0.89,0,0,0,53,0,0.488,0.37,-30,0,0,0,0.724,0,0,0.75,0.233
HO36254621,36,Self_Employed,8,24.1,Married,3,54851.04,32975.67,1,54756.79,0.998,175462.75,808060.97,12,23.73,76304.37,Auto_Loan,25,30,0,60,0.68,0,0,0,39,10,0.251,2.314,15,0,0,31,0.409,0,0,0.584,0.824
HG19174002,37,Salaried,9.1,21.3,Married,4,123293.97,63306.26,0,32907.97,0.267,96450.13,391512.14,36,14.34,13445.7,Credit_Card,9,0,3,30,0.86,1,0,0,6,0,0.111,0.212,0,0.8,0,0,0.707,0,0.1,0.244,0.091
JC07891938,61,Salaried,18,3.4,Single,1,72770.17,41832.1,0,3769.44,0.052,406542.67,482695.66,48,17.2,13978.2,Personal_Loan,70,0,3,0,0.76,2,0,1,17,0,0.165,0.334,-30,0.43,0.333,0,0.294,0,0.028,0.547,0.225
BY05618598,21,Gig,6.9,10.3,Married,0,191234.26,113560.18,1,16719.33,0.087,209480.23,423133.32,24,15.67,20651.27,Auto_Loan,62,0,0,0,0.82,0,0,1,9,0,0.457,0.182,0,0.7,1,0,0.43,0,0,0.411,0.419
MK80615437,47,Salaried,17.3,1.1,Single,4,109613.82,51311.03,0,25553.91,0.233,397015.91,392278.93,36,24.29,15450.02,Auto_Loan,66,0,1,90,0.81,0,0,0,50,0,0.2,0.301,0,0,0,0,0.417,0,0,0.28,0.14
KY84951991,45,Salaried,14.2,7.9,Married,2,97575.18,48030.45,0,36164.11,0.371,95698.96,882899.91,12,19.03,81377.68,Credit_Card,3,0,2,90,0.69,0,0,1,42,0,0.211,1.694,0,0,1,0,0.985,1,0,0.417,0.811
SX59495832,31,Salaried,6.2,2.6,Married,4,131461.52,59189.02,0,10925.9,0.083,431463.93,416324.87,60,13.48,9575.28,Personal_Loan,50,0,1,90,0.82,0,1,2,2,0,0.15,0.162,-15,0.93,2,0,0.504,0,0,0.354,0.586
MV91233364,50,Self_Employed,15.9,21.1,Single,2,189333.7,106124.33,1,36197.4,0.191,193483.34,908577.28,60,19.7,23920.33,Credit_Card,42,0,1,90,0.92,0,1,2,69,0,0.313,0.225,0,0,2,0,0.485,0,0,0.46,0.646
JL17832466,31,Salaried,15.6,22.2,Married,4,52424.84,28076.05,0,42057.03,0.802,447987.06,428992.2,60,16.93,10645.42,Personal_Loan,2,0,2,90,0.87,0,0,1,60,0,0.066,0.379,0,0,1,0,0.507,0,0,0.408,0.38
ZF82073618,52,Salaried,19.9,2,Married,2,133092.7,74027.16,0,21286.92,0.16,394457.19,266619.36,24,21.45,13759.41,Credit_Card,17,0,0,60,0.71,0,0,0,18,0,0.067,0.186,0,0.4,0,0,0.857,1,0,0.343,0.073
EX24401399,55,Salaried,11.3,1.8,Married,1,128318.13,87462.2,0,7046.39,0.055,256996.12,864880.39,48,23.76,28082.06,Auto_Loan,10,0,1,90,0.97,0,0,0,32,0,0.265,0.321,-30,0,0,0,0.201,0,0,0.41,0.163
RK05778349,61,Salaried,14.1,14.9,Married,3,109310.15,75181.77,0,40293.65,0.369,173199.27,142018.99,60,21.55,3886.16,Credit_Card,54,0,2,30,1,1,0,0,41,0,0.447,0.052,0,0,0,0,0.595,0,0.018,0.106,0.127
LH98208047,64,Salaried,4.8,0.8,Single,2,140244.54,92047.6,0,33124.93,0.236,385742.18,420923.4,12,14.16,37825.19,Personal_Loan,62,15,1,60,0.86,1,0,1,44,5,0.121,0.411,0,0,0.5,45,0.85,0,0.016,0.381,0.312
XL76413372,39,Salaried,20,6.2,Married,2,143011.94,67681.53,0,14558.57,0.102,170787.63,299692.04,24,22.84,15672.07,Credit_Card,10,30,0,90,0.69,0,0,1,56,10,0.174,0.232,15,0,1,53,0.537,0,0,0.499,0.43
DS01992357,23,Salaried,9.3,20.4,Married,3,190999.71,125277.42,0,22466.69,0.118,240401.76,314062.9,36,24.41,12389.29,Credit_Card,61,0,0,30,0.67,0,0,0,8,0,0.222,0.099,0,0.73,0,0,0.845,0,0,0.565,0.085
HA96978185,49,Salaried,7.2,21.3,Single,3,199303.67,107891.9,0,24899.15,0.125,442636.32,855316.14,60,14.86,20285.11,Personal_Loan,25,0,0,0,0.84,1,0,1,61,0,0.298,0.188,0,0,0.5,0,0.604,0,0.038,0.482,0.256
DQ82036514,38,Salaried,11.3,19.4,Married,3,161882.12,78984.55,0,49803.93,0.308,179708.23,543908.43,48,21.76,17065.63,Auto_Loan,53,0,1,30,0.8,2,0,1,32,0,0.318,0.216,0,0,0.333,0,0.693,0,0.037,0.321,0.228
QU95611519,44,Self_Employed,11,23.2,Married,3,161323.32,109683.18,1,27617.24,0.171,211001.46,455213.97,24,21.14,23422.78,Credit_Card,2,90,1,90,0.74,1,0,0,3,30,0.36,0.214,60,0.9,0,8,0.287,0,0.333,0.262,0.354
PG84034921,21,Self_Employed,13.1,16.4,Single,0,70362.29,41710.24,1,39332.76,0.559,201319.39,403171.16,24,17.11,19955.01,Personal_Loan,22,0,1,0,0.66,0,0,0,49,0,0.095,0.478,-30,0,0,0,0.538,0,0,0.362,0.167
TL50687894,50,Self_Employed,15.4,19.2,Single,4,53126.57,27031.94,1,22139.45,0.417,167483.35,206893.59,60,18.67,5329.44,Personal_Loan,52,15,0,60,0.84,1,0,0,49,5,0.306,0.197,0,0,0,7,0.362,0,0.019,0.139,0.169
FC78288345,55,Salaried,15.1,2.1,Married,4,36000.02,16366.24,0,10555.87,0.293,115086.18,299731.91,24,24,15847.15,Personal_Loan,40,0,0,0,0.65,0,0,1,36,0,0.116,0.968,0,0,1,0,0.856,1,0,0.376,0.569
WZ52247442,63,Salaried,9.2,19.5,Married,2,53367.2,26340.17,0,38690.93,0.725,291284.81,389295.08,36,16.54,13790.47,Personal_Loan,59,0,2,30,0.89,1,0,0,11,0,0.342,0.524,0,0.63,0,0,0.279,0,0.017,0.275,0.243
WT86550008,59,Self_Employed,3.6,11.5,Single,0,107320.6,49395.22,1,20049.97,0.187,115768.11,815030.11,60,24.94,23893.55,Personal_Loan,7,0,0,0,0.74,1,0,0,58,0,0.309,0.484,-15,0,0,0,0.34,0,0.125,0.667,0.222
OL60782457,28,Salaried,15.8,1.9,Single,4,60034.54,38765.44,0,52357.19,0.872,466135.7,437854.66,36,10.17,14163.31,Credit_Card,30,0,3,60,0.8,0,0,1,3,0,0.504,0.365,-30,0.9,1,0,0.837,0,0,0.325,0.486
PN72092587,61,Salaried,9.7,18.8,Married,4,50232.66,27029.37,0,27799.16,0.553,421788.32,254178.56,36,21.57,9650.74,Credit_Card,56,0,0,30,0.79,1,0,0,27,0,0.408,0.357,-15,0.1,0,0,0.306,0,0.018,0.445,0.209
FM24742137,39,Self_Employed,10.3,7.8,Single,1,90618.28,45858,1,23575.74,0.26,189726.73,919237.21,24,21.95,47665.64,Credit_Card,19,0,1,30,1,0,0,0,45,0,0.16,1.039,-15,0,0,0,0.733,0,0,0.43,0.352
MG02613504,64,Self_Employed,18.8,3.4,Single,0,154348.22,77490.59,1,20535.04,0.133,105141.17,927932.08,36,23.22,36026.48,Credit_Card,67,0,2,0,0.91,0,0,0,27,0,0.403,0.465,-30,0.1,0,0,0.597,0,0,0.72,0.24
FR63502595,34,Salaried,1.2,15.6,Single,1,180401.28,90921.28,0,35125.25,0.195,223362.9,702458.39,36,20.83,26403.89,Personal_Loan,65,0,2,90,0.76,1,0,1,9,0,0.225,0.29,0,0.7,0.5,0,0.843,0,0.015,0.446,0.268
AF14380338,60,Salaried,1.4,17.4,Single,4,119542.88,77633.25,0,24803.26,0.207,353636.09,696395.84,24,11.86,32736.26,Personal_Loan,44,0,1,30,0.77,1,0,1,59,0,0.417,0.422,-30,0,0.5,0,0.664,0,0.022,0.488,0.356
UJ70754073,57,Salaried,19.3,10.7,Single,2,53998.83,29261.45,0,53194.14,0.985,167095.11,468655.2,24,11.48,21947.59,Credit_Card,24,0,0,0,0.75,1,0,0,8,0,0.32,0.75,-30,0.73,0,0,0.51,0,0.04,0.545,0.305
DD25936433,39,Salaried,12.8,7,Married,1,28252.33,16253.49,0,9687.84,0.343,115706.24,338852.5,24,25.44,18159.97,Personal_Loan,57,0,0,30,0.75,3,0,1,53,0,0.112,1.117,0,0,0.25,0,0.405,0,0.052,0.7,0.426
QI42360513,56,Salaried,15.2,18.2,Married,2,84907.02,54555.72,0,46052.74,0.542,63744.41,262090.1,60,15.07,6244.74,Auto_Loan,44,15,0,60,0.93,0,0,0,60,5,0.219,0.114,15,0,0,19,0.763,0,0,0.195,0.122
ZO05504301,39,Salaried,12.2,10.8,Married,3,42583.3,29627.83,0,34138.38,0.802,293708.53,744485.66,24,24.47,39536.63,Auto_Loan,17,0,2,30,0.92,2,0,1,22,0,0.195,1.334,-15,0.27,0.333,0,0.942,1,0.111,0.721,0.532
VM04684775,59,Salaried,1,15.3,Married,4,127683.82,63287.1,0,30780.49,0.241,178090.55,563202.14,12,20.8,52387.83,Personal_Loan,10,15,3,90,0.96,1,1,0,2,5,0.452,0.828,-15,0.93,0,30,0.873,1,0.091,0.287,0.395
OW17187033,53,Salaried,1.3,16.2,Single,0,166725.92,99090.12,0,6074.99,0.036,201655.96,381996.31,48,18.67,11355.32,Auto_Loan,47,0,1,90,0.67,0,0,0,61,0,0.452,0.115,0,0,0,0,0.344,0,0,0.38,0.148
KA50118580,30,Self_Employed,7.7,16.2,Single,2,137943.89,67196.87,1,7457.6,0.054,247847.03,391486.14,24,13.75,18750.18,Credit_Card,46,0,2,90,0.87,0,0,1,36,0,0.353,0.279,-30,0,1,0,0.689,0,0,0.612,0.422
MA18278564,56,Self_Employed,15.3,1.1,Married,4,54424.38,28429.7,1,45231.88,0.831,42219.86,368733.79,12,17.79,33768.67,Credit_Card,44,30,1,60,0.74,0,0,1,68,10,0.296,1.188,30,0,1,36,0.922,1,0,0.502,0.747
XB86680031,33,Gig,14,6.4,Single,4,77948.22,48329.49,1,15831.53,0.203,455301.75,84437.68,12,19.97,7820.63,Personal_Loan,62,0,1,90,0.9,0,0,0,22,0,0.291,0.162,0,0.27,0,0,0.587,0,0,0.202,0.121
QV09470669,57,Salaried,14.6,19.5,Single,4,39373.31,24936.94,0,55566.44,1.411,154326.38,165916.09,60,16.82,4107.4,Personal_Loan,28,0,2,30,0.7,1,0,0,57,0,0.544,0.165,-30,0,0,0,0.895,1,0.034,0.151,0.186
FB94922073,24,Salaried,20,7.8,Single,4,66927.21,31122.31,0,36978.88,0.553,247105.42,229626.13,60,11.77,5081.26,Credit_Card,41,0,3,90,0.78,1,1,0,46,0,0.086,0.163,-30,0,0,0,0.309,0,0.024,0.169,0.07
YB32826720,62,Salaried,12.3,21.2,Married,0,73016.94,33723.44,0,34781.9,0.476,68979.59,898702.99,24,11.03,41899.12,Personal_Loan,59,60,1,60,0.7,0,0,0,59,20,0.064,1.242,60,0,0,19,0.661,0,0,0.475,0.522
IJ29071703,60,Gig,5.2,10.4,Married,1,129513.29,87034.47,1,55048.7,0.425,72256.31,793481.63,36,20.92,29861.89,Credit_Card,39,0,0,90,0.81,0,0,0,47,0,0.452,0.343,-15,0,0,0,0.343,0,0,0.697,0.216
LN96095494,55,Salaried,2,1.5,Married,1,53576.02,29684.44,0,11086.35,0.207,237639.81,327505.01,36,18.89,11986.82,Credit_Card,58,0,0,0,0.9,0,0,0,60,0,0.052,0.404,0,0,0,0,0.351,0,0,0.193,0.134
LI15837704,58,Salaried,0.9,5.5,Single,4,106725.89,66520.13,0,10794.31,0.101,499660.54,862935.69,24,25.34,46203.53,Personal_Loan,28,0,0,90,0.73,0,1,0,16,0,0.223,0.695,-15,0.47,0,0,0.975,1,0,0.478,0.264
WP08856603,59,Salaried,11.3,4.2,Married,1,27841.92,17537.25,0,18290.99,0.657,438031.98,982385.26,12,16.09,89174.5,Personal_Loan,31,0,0,60,0.79,1,0,0,51,0,0.27,5.085,0,0,0,0,0.922,1,0.031,0.543,1.593
ER77942913,62,Gig,14.7,4.1,Single,3,187510.86,116143.64,1,33054.13,0.176,327351.28,204033.93,12,15,18415.76,Personal_Loan,50,0,0,90,0.96,1,0,0,71,0,0.091,0.159,0,0,0,0,0.833,0,0.02,0.383,0.07
CD28210925,38,Self_Employed,15.5,3.5,Single,2,71381.26,46281.78,1,42173.51,0.591,452323.05,538711.87,48,24.94,17844.12,Auto_Loan,48,0,1,90,0.88,0,0,0,0,0,0.459,0.386,0,1,0,0,0.705,0,0,0.348,0.231
IS88186697,41,Self_Employed,13.8,18.5,Married,4,182980.69,123228.09,1,18286.26,0.1,452807.67,666879.17,48,10.88,17197,Personal_Loan,41,15,1,15,0.68,0,0,1,17,5,0.415,0.14,15,0.43,1,55,0.936,1,0,0.568,0.429
IV61313613,61,Self_Employed,14.4,10.6,Married,2,118465.48,63326.21,1,34355.94,0.29,23592.39,880282.08,60,25.55,26122.06,Personal_Loan,9,0,2,90,0.89,0,0,0,21,0,0.335,0.412,-30,0.3,0,0,0.589,0,0,0.667,0.207
FZ81673713,54,Salaried,11.8,11.6,Married,3,134758.27,93553.28,0,38524.74,0.286,223988.31,724690.89,36,16.66,25714.75,Credit_Card,61,0,2,60,0.91,0,0,1,18,0,0.36,0.275,-30,0.4,1,0,0.422,0,0,0.713,0.422
BR71868736,48,Gig,5.8,10.5,Single,3,90672.4,60273.74,1,33827.19,0.373,495225.31,233501.98,60,22.64,6534.32,Credit_Card,14,15,0,60,0.85,2,1,0,7,5,0.422,0.108,-15,0.77,0,12,0.603,0,0.133,0.24,0.171
JQ62333286,39,Self_Employed,6.1,5,Married,3,121323.02,69714.51,1,33521.24,0.276,307519.82,681675.65,24,10.52,31619.73,Personal_Loan,47,0,0,90,0.97,2,0,0,10,0,0.468,0.454,-15,0.67,0,0,0.805,0,0.042,0.635,0.253
GN99451500,49,Salaried,17,3.8,Married,1,170124.11,92857.09,0,42040.56,0.247,168513.14,93305.51,48,13.13,2509.18,Personal_Loan,43,0,2,90,0.9,1,0,1,21,0,0.318,0.027,-30,0.3,0.5,0,0.451,0,0.023,0.068,0.213
OC63156319,39,Self_Employed,18.5,4.2,Married,0,133906.52,71029.66,1,13223.06,0.099,292072.73,338002.73,36,21.3,12786.4,Credit_Card,51,0,0,30,0.9,0,1,0,0,0,0.156,0.18,0,1,0,0,0.327,0,0,0.671,0.093
FQ91963526,22,Self_Employed,3.9,17.6,Single,1,40214.83,20336.12,1,15383.77,0.383,399465.83,124992.65,36,15.47,4361.73,Personal_Loan,2,0,0,60,0.85,0,0,0,7,0,0.541,0.214,-15,0.77,0,0,0.863,1,0,0.085,0.199
YZ58260650,41,Gig,17.2,5.2,Single,3,199116.91,122157.38,1,39266.29,0.197,399160.88,276042.81,36,15.04,9574.52,Personal_Loan,29,15,2,15,0.95,0,0,0,47,5,0.138,0.078,-15,0,0,55,0.668,0,0,0.21,0.091
JG79245534,56,Self_Employed,12.8,1.6,Married,2,176595.04,103935.14,1,15755.35,0.089,456570.08,275794.42,60,12.84,6252.6,Credit_Card,54,15,0,90,0.93,2,0,0,26,5,0.123,0.06,0,0.13,0,40,0.804,0,0.036,0.167,0.082
OT67200419,33,Gig,16.7,15.7,Married,4,59319.15,34221.85,1,34544.09,0.582,390154.81,245166.42,12,10.91,21657.92,Personal_Loan,12,0,3,90,0.84,0,0,0,53,0,0.294,0.633,0,0,0,0,0.736,0,0,0.187,0.263
JW60583911,48,Self_Employed,9.3,17.8,Married,0,60455.28,39327.49,1,56105.76,0.928,374053.17,731881.22,24,18.82,36829.15,Credit_Card,42,0,1,0,0.7,0,0,1,60,0,0.433,0.936,0,0,1,0,0.482,0,0,0.401,0.639
NY32258518,48,Gig,13,11.8,Married,1,131460.32,70874.15,1,22895.5,0.174,35910.42,223530.57,24,11.08,10426.58,Credit_Card,59,0,1,90,0.69,0,0,0,72,0,0.282,0.147,-15,0,0,0,0.816,0,0,0.349,0.115
GS63563773,25,Self_Employed,7.9,14.2,Single,3,182804.5,110777.28,1,48699.22,0.266,389686.46,119166.55,36,15.85,4180.72,Credit_Card,6,0,0,0,0.93,0,0,0,43,0,0.087,0.038,0,0,0,0,0.871,1,0,0.248,0.033
WD88098893,60,Gig,15.8,13.5,Married,4,89261.57,42194.32,1,10848.59,0.122,31388.07,325039.17,36,17.79,11716.73,Credit_Card,14,0,1,0,0.68,3,0,3,5,0,0.07,0.278,-30,0.83,0.75,0,0.943,1,0.2,0.657,0.288
EX94735009,32,Gig,14,5.6,Married,0,54793.84,37883.78,1,35914.31,0.655,203145.95,896366.93,60,18.95,23227.6,Credit_Card,18,0,1,90,0.92,1,0,1,35,0,0.239,0.613,-15,0,0.5,0,0.764,0,0.053,0.377,0.369
ZI11435705,53,Gig,9.4,22.6,Single,1,121821.93,75102.65,1,56676.84,0.465,97094.93,769356.26,60,25.3,22717.14,Auto_Loan,8,0,0,90,0.8,1,0,0,20,0,0.382,0.302,-30,0.33,0,0,0.806,0,0.111,0.37,0.186
OL02884312,61,Salaried,7,4,Married,2,106114.61,51829.78,0,18999.94,0.179,101337.13,235709.14,24,19.47,11935.67,Credit_Card,18,15,0,60,0.71,2,0,0,57,5,0.505,0.23,0,0,0,11,0.698,0,0.105,0.314,0.229
OE16334232,35,Salaried,11,5.6,Married,4,146580.62,96608.68,0,3457.23,0.024,152419.15,225080.02,12,22.92,21166.01,Personal_Loan,29,0,0,90,0.86,0,0,0,26,0,0.165,0.219,0,0.13,0,0,0.388,0,0,0.297,0.107
QW46419038,45,Self_Employed,7.4,5.3,Single,1,51805.25,32058.87,1,53713.35,1.037,492427.75,670663.58,48,23.52,21687.28,Credit_Card,26,60,1,60,0.94,2,0,0,70,20,0.249,0.676,30,0,0,57,0.64,0,0.074,0.656,0.398
QJ83762913,45,Salaried,14.9,7.5,Married,2,133041.34,61631.19,0,44295.94,0.333,285295.89,950533.58,48,13.77,25865.2,Personal_Loan,43,0,2,90,0.81,0,0,0,53,0,0.202,0.42,-30,0,0,0,0.921,1,0,0.741,0.176
XN03234693,55,Salaried,2.5,6,Married,4,123815.44,75803.59,0,36824.72,0.297,435368.37,464935.31,48,12.79,12424.65,Personal_Loan,49,0,2,90,0.74,0,0,1,3,0,0.098,0.164,-30,0.9,1,0,0.679,0,0,0.553,0.324
MP67849981,25,Salaried,17.4,11.7,Married,3,56359.16,38132.78,0,26171.89,0.464,42572.09,970458.86,60,23.32,27536.41,Credit_Card,23,60,1,60,0.84,0,0,0,28,20,0.079,0.722,45,0.07,0,20,0.991,1,0,0.866,0.37
TV93071644,60,Salaried,13.3,8.2,Married,2,124523.32,60933.65,0,55766.79,0.448,121704.04,190297.61,36,14.18,6520.57,Credit_Card,22,0,0,90,0.73,0,0,0,7,0,0.546,0.107,0,0.77,0,0,0.319,0,0,0.479,0.169
TP54754895,40,Salaried,0.5,19.5,Married,4,109053.55,53328.51,0,4177.4,0.038,367518.29,522527.19,60,13.58,12044.82,Personal_Loan,65,30,0,30,0.67,1,0,0,26,10,0.212,0.226,0,0.13,0,42,0.759,0,0.015,0.288,0.187
MJ33823227,44,Self_Employed,5.2,2.3,Married,0,37347.91,18280.56,1,12398.56,0.332,85764.67,281446.22,48,10.88,7257.73,Credit_Card,15,0,0,0,0.76,0,0,1,8,0,0.086,0.397,-15,0.73,1,0,0.523,0,0,0.22,0.391
AE33348953,41,Salaried,18.4,3.8,Single,4,140847.28,74346.47,0,3667.93,0.026,27579.03,607147.17,48,17.28,17607.33,Personal_Loan,31,60,1,90,0.94,1,0,1,39,20,0.13,0.237,30,0,0.5,51,0.766,0,0.031,0.483,0.362
GH10538073,35,Salaried,1.3,23.2,Married,1,58516.71,35593.31,0,16683.44,0.285,149232.11,136875.13,36,24.09,5376.47,Personal_Loan,20,15,1,60,0.87,1,0,0,74,5,0.306,0.151,15,0,0,58,0.443,0,0.048,0.334,0.155
FX95818348,46,Salaried,11.3,21.7,Single,2,163334.88,85183.32,0,12364.18,0.076,383320.25,322649.94,48,21.64,10102.48,Auto_Loan,1,90,0,90,0.94,0,0,0,3,30,0.376,0.119,60,0.9,0,46,0.233,0,0,0.492,0.33
NB02859505,35,Salaried,13,21.7,Married,4,140073.99,70706.52,0,49592.48,0.354,14369.15,637646.76,12,13.12,56988.78,Auto_Loan,56,15,0,90,0.94,0,0,1,69,5,0.51,0.806,-15,0,1,11,0.439,0,0,0.316,0.653
SH09528593,26,Gig,16,1.8,Single,2,169767.67,101326.6,1,54364.55,0.32,439416.34,60419.92,48,24.31,1980.17,Auto_Loan,40,0,0,30,0.73,0,0,0,35,0,0.53,0.02,-15,0,0,0,0.645,0,0,0.177,0.138
BJ47937247,34,Salaried,5.6,16.2,Married,2,146889.24,77377.68,0,11228.6,0.076,114012.52,873532.48,36,11.6,28847.18,Credit_Card,65,15,1,30,0.76,0,0,1,67,5,0.175,0.373,15,0,1,45,0.508,0,0,0.601,0.439
PR62121824,22,Salaried,4.9,1.4,Single,3,136163.41,87148.68,0,50525.19,0.371,403999.22,225409.31,60,14.6,5315.26,Credit_Card,27,15,2,30,0.99,1,0,0,38,5,0.392,0.061,0,0,0,10,0.654,0,0.036,0.28,0.15
GP00024032,22,Salaried,14.5,10.1,Married,3,129202.49,68673.4,0,18421.33,0.143,370610.81,973500.1,36,12.83,32721.41,Personal_Loan,48,15,2,30,1,0,0,5,37,5,0.086,0.476,-15,0,5,54,0.815,0,0,0.501,1.448
PY85014558,48,Salaried,19.8,14.9,Married,1,62494.95,42199.95,0,35842.08,0.574,222941.03,167811.07,36,14.46,5772.95,Credit_Card,17,15,3,30,0.91,2,0,0,31,5,0.377,0.137,15,0,0,36,0.961,1,0.111,0.146,0.169
SF13150792,22,Salaried,19.1,6.3,Single,2,115357.73,52039.55,0,29003.16,0.251,26200.9,485145.62,24,13.97,23286.36,Credit_Card,58,90,1,90,0.67,2,0,0,10,30,0.464,0.447,60,0.67,0,26,0.455,0,0.034,0.648,0.45
IF09050930,57,Salaried,14.1,8.9,Married,2,113778.61,53357.19,0,37989.66,0.334,185672.17,934532.82,36,11.62,30870.52,Auto_Loan,28,0,0,90,0.9,3,0,1,51,0,0.506,0.579,0,0,0.25,0,0.591,0,0.103,0.472,0.363
LH91405592,38,Salaried,7,3.4,Married,1,162184.28,97701.83,0,4198.38,0.026,400426.9,323768.69,36,25.98,13041.39,Credit_Card,57,0,1,90,0.89,0,0,0,44,0,0.44,0.133,0,0,0,0,0.378,0,0,0.215,0.15
EP01567572,33,Salaried,12.6,10.5,Married,2,53240.67,32188.9,0,15073.26,0.283,373217.96,115380.11,36,16.94,4110.17,Personal_Loan,50,60,0,60,0.92,1,0,1,23,20,0.524,0.128,30,0.23,0.5,11,0.507,0,0.02,0.295,0.428
AA37157398,32,Self_Employed,18.3,19,Married,3,111494,64321.32,1,52694.26,0.473,229869.92,622479.16,36,13.25,21048.82,Personal_Loan,8,0,2,60,0.82,1,0,1,54,0,0.116,0.327,0,0,0.5,0,0.202,0,0.111,0.503,0.252
GP98479290,47,Salaried,7.9,14.1,Single,1,59641.75,27035.87,0,48435.32,0.812,94041.51,682053.85,36,18.9,24966.91,Credit_Card,34,0,2,90,0.66,0,0,1,68,0,0.336,0.923,-15,0,1,0,0.694,0,0,0.392,0.611
RF21362472,46,Salaried,7.6,8.9,Single,0,56584.36,36046.3,0,45946.6,0.812,346527.81,273768.31,12,17.43,25024.87,Credit_Card,71,15,1,15,0.69,1,0,1,24,5,0.101,0.694,-15,0.2,0.5,38,0.955,1,0.014,0.366,0.392
CV03102487,55,Salaried,5.9,1.9,Married,1,161883.24,79920.68,0,21951.08,0.136,104885.32,559473.13,24,10.43,25928.02,Auto_Loan,70,0,0,0,0.94,0,0,0,12,0,0.139,0.324,0,0.6,0,0,0.702,0,0,0.352,0.132
NI36141831,34,Self_Employed,19.5,7.5,Single,3,107060.61,72034.81,1,45512.03,0.425,170301.53,494582.55,12,10.39,43571.43,Auto_Loan,38,0,1,0,0.68,0,0,1,52,0,0.194,0.605,-30,0,1,0,0.423,0,0,0.428,0.48
FM51996378,41,Salaried,11.5,10.8,Single,1,55742.35,33087.04,0,39256.13,0.704,441028.89,179531.71,24,25.36,9614.34,Auto_Loan,42,0,0,60,0.65,0,0,2,21,0,0.125,0.291,-15,0.3,2,0,0.506,0,0,0.26,0.619
QH56778339,23,Gig,14.5,11.7,Single,3,70560.54,37792.2,1,52743.69,0.747,460824.37,932771.59,36,15.78,32692.26,Credit_Card,21,60,1,60,0.8,2,0,0,40,20,0.543,0.865,45,0,0,33,0.545,0,0.091,0.416,0.529
VR37281690,55,Gig,2.8,20.2,Married,0,58520.13,33636.2,1,5406.3,0.092,168010.58,941384.66,24,25.43,50446.46,Auto_Loan,34,0,0,60,0.79,0,0,0,33,0,0.087,1.5,-15,0,0,0,0.569,0,0,0.483,0.472
AX45237908,41,Salaried,6.6,22.7,Married,3,93654.49,50116.75,0,40274.42,0.43,244090.22,58700.13,12,17.94,5379.95,Credit_Card,29,0,4,0,0.75,0,1,1,35,0,0.519,0.107,-15,0,1,0,0.481,0,0,0.223,0.412
UE10780895,36,Gig,7.2,24.6,Married,0,127199.42,77789.22,1,38660.31,0.304,386554.2,300343.72,48,21.79,9428.44,Personal_Loan,56,15,1,90,0.73,0,0,0,48,5,0.303,0.121,15,0,0,49,0.933,1,0,0.538,0.145
CX56237758,43,Self_Employed,7.4,1.5,Single,0,162611.34,111940.55,1,34861.8,0.214,392675.47,703122.05,12,11.35,62257.94,Personal_Loan,33,0,0,30,0.86,1,0,1,50,0,0.18,0.556,-15,0,0.5,0,0.524,0,0.029,0.368,0.337
HV28174774,27,Salaried,3,6,Single,2,196870.32,98746.54,0,34662.76,0.176,14022.2,428327.58,48,16.17,12176.25,Auto_Loan,2,30,2,90,0.82,0,0,0,60,10,0.083,0.123,30,0,0,9,0.4,0,0,0.535,0.124
